"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"v2866pv","3011","2","Bruno Bradley","The Iceblade Sorcerer Shall Rule the World","3","Sun, 29 Oct 2023 17:46:25 GMT","1698601585461","46","","","","No","No","","","0","0","3","190147150485651457","190147150485651457","745688976014180493","25","F","S","S","S","A","F","D","",""
"v285zlc","18173","2","Asmodeus","Umineko: When They Cry","3","Sat, 28 Oct 2023 21:13:42 GMT","1698527622375","48","","","","No","No","","","1","0","3","190147150485651457","190147150485651457","745688976014180493","25","F","S","S","S","S","F","D","",""
"v28mk2s","13593","3","Paracelsus von Hohenheim","Fate/Prototype: Sougin no Fragments","2","Sat, 28 Oct 2023 11:07:09 GMT","1698491229036","35","","","","No","No","","","2","0","2","190147150485651457","190147150485651457","745688976014180493","19","F","S","S","S","C","F","D","",""
"v2gzcj7","2831","5","Bass Armstrong","Dead or Alive","4","Mon, 23 Oct 2023 12:41:23 GMT","1698064883273","116","","","","No","No","","","1","0","4","190147150485651457","190147150485651457","745688976014180493","64","F","S","S","S","A","F","D","",""
"v2r6ktk","13448","3","Gamoran","Doraemon: The Records of Nobita, Spaceblazer","2","Sat, 21 Oct 2023 10:24:20 GMT","1697883860735","13","","","","No","No","","","0","0","2","190147150485651457","190147150485651457","745688976014180493","5","F","S","S","S","A","F","D","",""
"v2rlrl6","309","2","Setsu Suzaki","Summoned to Another World for a Second Time","4","Sat, 21 Oct 2023 01:21:25 GMT","1697851285207","184","","","","No","No","","","1","0","4","190147150485651457","190147150485651457","745688976014180493","115","F","S","S","S","A","F","B","",""
"v2rjx7r","3053","5","Isuzu Sohma","Fruits Basket","4","Fri, 20 Oct 2023 15:15:00 GMT","1697814900526","279","","","","No","No","","","44","0","4","190147150485651457","190147150485651457","745688976014180493","155","F","S","S","S","A","F","D","",""
"v2p2119","27730","2","Dondokomon","Digimon Xros Wars","1","Wed, 18 Oct 2023 21:58:30 GMT","1697666310862","6","","","","No","No","","","1","0","1","190147150485651457","190147150485651457","745688976014180493","4","F","S","S","S","S","F","D","",""
"v24cwv4","3087","5","Cocytus","Overlord","2","Wed, 18 Oct 2023 15:37:57 GMT","1697643477064","59","","","","No","No","","","48","0","2","190147150485651457","190147150485651457","745688976014180493","34","F","S","S","S","A","F","D","",""
"v24jg3x","8703","4","Denki Kaminari","My Hero Academia","2","Tue, 17 Oct 2023 19:26:53 GMT","1697570813779","85","","","","No","No","","","225","0","2","190147150485651457","190147150485651457","745688976014180493","45","F","S","S","S","A","F","D","",""
