code,number,edition,character,series,quality,obtainedDate,obtainedTimestamp,burnValue,dye.code,dye.name,frame,morphed,trimmed,tag,alias,wishlists,fights,dropQuality,dropper,grabber,guild,worker.effort,worker.style,worker.purity,worker.grabber,worker.dropper,worker.quickness,worker.toughness,worker.vanity,worker.recoveryDate,worker.recoveryTimestamp
v276hz5,8438,4,Houshou Marine,Hololive: Holo no Graffiti,4,"Wed, 01 Nov 2023 16:13:49 GMT",1.69886E+12,324,,,,No,No,,,397,0,4,2.47132E+17,2.47132E+17,3.43119E+17,176,F,S,S,S,S,F,D,,
v28x5dp,1090,2,Alvitr,Honkai Impact 3rd,1,"Sun, 29 Oct 2023 17:45:12 GMT",1.6986E+12,30,,,,No,No,,,1,0,1,2.47132E+17,2.47132E+17,3.43119E+17,20,F,S,S,S,S,F,D,,
v2g1dxg,11980,1,Sylphiette,Mushoku Tensei: Jobless Reincarnation,1,"Tue, 24 Oct 2023 15:12:09 GMT",1.69816E+12,25,,,,No,No,,,352,0,1,1.83458E+17,1.83458E+17,7.09433E+17,11,F,S,F,F,S,F,D,,
v24zm2p,2852,5,18+,Himegoto,2,"Tue, 17 Oct 2023 21:33:48 GMT",1.69758E+12,55,,,,No,No,,,6,0,2,,2.47132E+17,3.43119E+17,29,F,S,S,F,S,F,D,,
vh342zm,2938,5,Akane Aoi,Toilet-Bound Hanako-kun,3,"Sun, 03 Sep 2023 23:42:22 GMT",1.69378E+12,149,,,,No,No,,,70,0,3,2.47132E+17,2.47132E+17,7.30538E+17,86,F,S,S,S,S,F,D,,
vhhc06l,12470,3,Esdeath,Akame ga Kill!,1,"Wed, 16 Aug 2023 01:07:31 GMT",1.69215E+12,43,,,,No,No,,,1649,0,1,2.47132E+17,2.47132E+17,7.30538E+17,24,F,S,S,S,S,F,D,,
vhv4vsg,264,2,Tamamo,The Alchemist Code,2,"Thu, 10 Aug 2023 20:55:31 GMT",1.6917E+12,48,,,,No,No,,,2,0,2,2.47132E+17,2.47132E+17,7.30538E+17,31,F,S,S,S,S,F,A,,
vqxpwpt,2625,5,André Grandier,The Rose of Versailles,2,"Fri, 04 Aug 2023 21:50:25 GMT",1.69119E+12,31,,,,No,No,,,3,0,2,2.47132E+17,2.47132E+17,7.30538E+17,20,F,S,S,S,S,F,C,,
vqsbxb1,15823,2,Aiko Mikami,The Disastrous Life of Saiki K. 2nd Season,2,"Thu, 03 Aug 2023 08:12:28 GMT",1.69105E+12,22,,,,No,No,,,0,0,2,2.47132E+17,2.47132E+17,6.48032E+17,14,F,S,S,S,A,F,D,,
vqgnwrw,7373,4,Itachi Uchiha,Naruto,1,"Mon, 31 Jul 2023 00:52:32 GMT",1.69076E+12,44,,,,No,No,,,2501,0,1,,4.33994E+17,8.28288E+17,20,F,S,F,F,F,F,D,,
v0q1wb8,52870,1,Gerald,Nezumi Monogatari: George to Gerald no Bouken,4,"Tue, 16 May 2023 00:53:42 GMT",1.6842E+12,14,,,,No,No,,,1,0,4,,2.47132E+17,7.30538E+17,8,F,S,S,F,B,F,D,,
vv7b059,7356,4,Mayoi Hachikuji,Bakemonogatari,2,"Tue, 02 May 2023 22:13:53 GMT",1.68307E+12,63,,,,No,No,,,78,0,2,2.47132E+17,2.47132E+17,7.30538E+17,39,F,S,S,S,S,F,C,,
