"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vq8f4tf","55624","1","Abdul Hakim","Cowboy Bebop","2","Sat, 29 Jul 2023 00:10:59 GMT","1690589459958","7","","","","No","No","kobe","","1","0","2","393131628827770890","393131628827770890","730537558911484028","4","F","S","S","S","A","F","D","",""
"vq80jxg","54793","1","Clarence","Sword Art Online Alternative: Gun Gale Online","3","Fri, 28 Jul 2023 03:27:36 GMT","1690514856009","21","","","","No","No","kobe","","1","0","3","393131628827770890","393131628827770890","730537558911484028","13","F","S","S","S","S","F","D","",""
"vqhnhmn","1765","5","Thorfinn Thordarson","Vinland Saga","4","Sun, 02 Jul 2023 01:56:47 GMT","1688263007410","322","","","","No","No","","","847","0","4","485541690380386337","485541690380386337","880182304201396234","180","F","S","F","F","S","F","C","",""
"vqq7n81","20173","1","Jinwu","Genshin Impact","2","Sat, 01 Jul 2023 03:28:17 GMT","1688182097050","22","","","","No","No","kobe","","1","0","2","393131628827770890","393131628827770890","730537558911484028","15","F","S","S","S","A","F","D","",""
"vqv6vvj","88","2","Naoko Mifune","Tomo-chan Is a Girl!","3","Wed, 28 Jun 2023 04:48:11 GMT","1687927691977","90","","","","No","No","kobe","","1","0","3","393131628827770890","393131628827770890","730537558911484028","64","F","S","S","S","S","F","A","",""
"vqvkqkx","54071","1","Harriet","Pokémon: The Power of Us","3","Tue, 27 Jun 2023 03:27:45 GMT","1687836465245","9","","","","No","No","kobe","","1","0","3","393131628827770890","393131628827770890","730537558911484028","4","F","S","S","S","A","F","D","",""
"v0s3183","54057","1","Mobston","One Piece Film: Z","2","Tue, 20 Jun 2023 00:36:32 GMT","1687221392528","7","","","","No","No","kobe","","1","0","2","393131628827770890","393131628827770890","730537558911484028","4","F","S","S","S","B","F","D","",""
"v0d6ksm","54110","1","Yuri","The Book of Bantorra","4","Mon, 19 Jun 2023 02:33:45 GMT","1687142025511","23","","","","No","No","kobe","","1","0","4","393131628827770890","393131628827770890","730537558911484028","14","F","S","S","S","A","F","D","",""
"v077885","53796","1","Nanami Kuribayashi","GATE","4","Sat, 17 Jun 2023 07:28:19 GMT","1686986899235","25","","","","No","No","kobe","","1","0","4","393131628827770890","393131628827770890","730537558911484028","14","F","S","S","S","A","F","D","",""
"v079q41","54037","1","Mei Tachibana","Dropkick on My Devil!","3","Sat, 17 Jun 2023 00:25:20 GMT","1686961520388","12","","","","No","No","kobe","","1","0","3","393131628827770890","393131628827770890","730537558911484028","6","F","S","S","S","S","F","D","",""
"v08ft4v","817","2","Andersen","Nikke: Goddess of Victory","2","Wed, 14 Jun 2023 03:05:58 GMT","1686711958231","30","","","","No","No","kobe","","2","0","2","393131628827770890","393131628827770890","730537558911484028","23","F","S","S","S","S","F","A","",""
"v0lqwcn","17510","1","Iris Chateaubriand","Sakura Wars TV","3","Sun, 11 Jun 2023 16:32:13 GMT","1686501133150","7","","","","No","No","kobe","","1","0","3","393131628827770890","393131628827770890","730537558911484028","4","F","S","S","S","A","F","D","",""
"v0f2chk","36788","1","Hiro Nakamura","Taiyou no Ie","2","Sat, 10 Jun 2023 04:27:24 GMT","1686371244431","9","","","","No","No","kobe","","2","0","2","393131628827770890","393131628827770890","730537558911484028","4","F","S","S","S","A","F","D","",""
"v09p3lm","5011","1","Momotani Mashiro","Baku Ane 2: Otouto Ippai Shibocchau zo!","2","Fri, 09 Jun 2023 04:33:42 GMT","1686285222032","35","","","","No","No","","","31","0","2","393131628827770890","393131628827770890","730537558911484028","20","F","S","S","S","A","F","D","",""
"v0gw8x3","2758","4","Kaede Naruse","Shikizakura","2","Wed, 07 Jun 2023 05:04:47 GMT","1686114287305","27","","","","No","No","kobe","","1","0","2","393131628827770890","393131628827770890","730537558911484028","16","F","S","S","S","A","F","C","",""
"v0rdw41","53608","1","Kenji Takeda","Kuroko's Basketball","4","Mon, 05 Jun 2023 01:04:48 GMT","1685927088002","13","","","","No","No","kuroko","","1","0","4","393131628827770890","393131628827770890","730537558911484028","6","F","S","S","S","S","F","D","",""
"v0rfln8","16560","3","Mio Honda","The iDOLM@STER: Cinderella Girls","2","Sun, 04 Jun 2023 20:43:45 GMT","1685911425001","40","","","","No","No","kobe","","27","0","2","393131628827770890","393131628827770890","730537558911484028","24","F","S","S","S","S","F","D","",""
"v0rnvr7","3404","4","Eveline","Resident Evil 7: Biohazard","3","Sun, 04 Jun 2023 11:08:44 GMT","1685876924492","80","","","","No","No","kobe","","3","0","3","393131628827770890","393131628827770890","730537558911484028","49","F","S","S","S","S","F","C","",""
"v0rkbx7","30519","2","Zamazenta","Pokémon Journeys: The Series","2","Sun, 04 Jun 2023 05:20:32 GMT","1685856032927","38","","","","No","No","kobe","","13","0","2","393131628827770890","393131628827770890","730537558911484028","24","F","S","S","S","S","F","D","",""
"v0r2xds","53643","1","Piko Utatane","*Luna: classroom","1","Sun, 04 Jun 2023 02:19:19 GMT","1685845159299","4","","","","No","No","kobe","","4","0","1","393131628827770890","393131628827770890","730537558911484028","1","F","S","S","S","S","F","D","",""
