code,number,edition,character,series,quality,wishlists,dropQuality
v2szs16,58467,1,Charlie,Meiji Tokyo Renka Movie: Yumihari no Serenade,2,1,2
v2sz6rk,47739,1,Lenessia Erhart Cowen,Log Horizon,2,6,2
v2dxb7n,8685,4,Haku,Spirited Away,1,296,1
v2dsd7c,2980,5,Elemental Hero Neos,Yu-Gi-Oh! GX,1,14,1
v2dlslx,14458,3,Enmu,Demon Slayer: Kimetsu no Yaiba,2,114,2
v2dg0f5,58699,1,Paper Boy,Fruits Basket 1st Season,2,1,2
v2dnq08,41060,1,Longinus,Fate/Requiem,1,1,1
v2dbxw0,58836,1,Tapu Koko,Pokémon Sun & Moon,1,3,1
v2d05rj,16313,2,Phina,Fire Emblem: Mystery of the Emblem,1,1,1
v27xdmj,274,6,Lisette Regnier,Tales of Luminaria,3,1,3
v276ddk,56639,1,Pawniard,Pokémon: Black & White,1,1,1
v27405p,59080,1,Tsugumi Oozora,Stop!! Hibari-kun!,2,0,2
v2tscmw,18805,3,Julius Juukulius,Re:ZERO -Starting Life in Another World-,2,9,2
v2tt934,2936,5,RAN,BLACKSTAR -Theater Starless-,1,4,1
v2tf58r,16065,2,Erk,Fire Emblem: The Blazing Blade,2,1,2
v2tg8f2,3217,2,Haruhiko Yagi,Hajime no Ippo: The Fighting!,2,2,2
v2t92nz,3013,3,Jabbathe,Vinland Saga,4,1,4
v2tw0m3,58764,1,Cyclops Gigant,Saint Seiya: The Hades Chapter - Sanctuary,1,1,1
v28r63x,13528,3,Akira Fudou,Devilman,0,188,0
v28njq8,3206,5,Ame-Warashi,xxxHOLiC,2,2,2
v2ltqpr,2982,5,Tetsujin,Sabikui Bisco,3,1,3
v2lgcw9,8724,4,Mamoru Akasaka,When They Cry: Higurashi,2,1,2
v2l3trs,3566,5,Charlotte,Fire Emblem Fates,2,3,2
v2lpp7n,58645,1,Dr. Nossori,Mazinger Z,3,0,3
v2lzk0k,3318,5,Hiling,Ousama Ranking,2,39,2
v2lmmw0,8063,4,Mio Sudou,Otona nya Koi no Shikata ga Wakaranee!,3,1,3
v2fdxq3,3478,1,Michika,Heavenly Delusion,1,1,1
v2ftc55,58426,1,Haruna Okada,K-On!!,3,1,3
v2fhj12,40556,1,Kabuki Nobbu,Fate/Grand Order,2,1,2
v29c7vt,3391,5,Kanade Oomori,We Never Learn,3,0,3
v29c4wv,8293,4,Jakurai Jinguji,Hypnosis Mic: Division Rap Battle - Rhyme Anima,3,23,3
v29fn2f,945,4,Rose Oriana,The Eminence in Shadow,3,52,3
v29gbf5,92,2,Wolf Fang Captain,"Saving 80,000 Gold in Another World for My Retirement",1,0,1
v29zw83,446,4,Monzein,The Alchemist Code,3,0,3
v29vx42,2931,5,Yoriko Yasaka,Haiyore! Nyaruko-san,2,3,2
v2gtw2d,8261,4,Shinoa Hiiragi,Seraph of the End: Battle in Nagoya,3,414,3
