"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"v2dqnmq","13635","3","Megumi Fushiguro","Jujutsu Kaisen","1","Wed, 01 Nov 2023 20:06:54 GMT","1698869214710","44","","","","No","No","","","2577","0","1","404127890649907204","226504477161684993","730537558911484028","23","F","S","S","F","S","F","D","",""
"v2ldl7d","3061","1","Sharun","Epic Seven","2","Sat, 28 Oct 2023 05:54:36 GMT","1698472476892","26","","","","No","No","","","1","0","2","226504477161684993","226504477161684993","730537558911484028","15","F","S","S","S","A","F","D","",""
"v29f40k","8796","4","Dorumon","Digimon X-Evolution","4","Wed, 25 Oct 2023 03:40:35 GMT","1698205235734","109","","","","No","No","","","1","0","4","226504477161684993","226504477161684993","730537558911484028","58","F","S","S","S","A","F","D","",""
"v2z5z8g","10181","4","Kuroyuki","Nightshade","2","Mon, 16 Oct 2023 05:52:10 GMT","1697435530502","42","","","","No","No","","","4","0","2","226504477161684993","226504477161684993","730537558911484028","24","F","S","S","S","A","F","D","",""
"v21x879","18025","1","Mizerka","One Piece","2","Sun, 15 Oct 2023 17:58:05 GMT","1697392685729","20","","","","No","No","","","1","0","2","226504477161684993","226504477161684993","730537558911484028","13","F","S","S","S","S","F","D","",""
"v2bsd0c","57735","1","Maika Chouno","Aikatsu Friends!","3","Wed, 11 Oct 2023 04:44:12 GMT","1696999452077","10","","","","No","No","","","1","0","3","226504477161684993","226504477161684993","730537558911484028","6","F","S","S","S","A","F","D","",""
"v2bdzrm","21297","2","Kaoru Mizutani","A Whisker Away","2","Wed, 11 Oct 2023 04:06:29 GMT","1696997189657","26","","","","No","No","","","1","0","2","226504477161684993","226504477161684993","730537558911484028","15","F","S","S","S","A","F","D","",""
"v229zfw","7713","3","Moody Blues","JoJo's Bizarre Adventure: Golden Wind","3","Wed, 04 Oct 2023 19:56:18 GMT","1696449378936","114","","","","No","No","","","12","0","3","226504477161684993","226504477161684993","730537558911484028","64","F","S","S","S","S","F","D","",""
"v2h7kzn","3173","5","Haruhi Fujioka","Ouran High School Host Club","1","Tue, 03 Oct 2023 15:00:48 GMT","1696345248708","36","","","","No","No","","","180","0","1","226504477161684993","226504477161684993","730537558911484028","20","F","S","S","S","S","F","D","",""
"v2q8bjq","33312","2","Bunta Fujiwara","Initial D","0","Sun, 01 Oct 2023 23:28:15 GMT","1696202895382","6","","","","No","No","","","37","0","0","226504477161684993","226504477161684993","730537558911484028","4","F","S","S","S","S","F","D","",""
"v2q43vb","2894","5","Kyrie Ushiromiya","Umineko: When They Cry","2","Sun, 01 Oct 2023 13:54:46 GMT","1696168486636","48","","","","No","No","","","4","0","2","226504477161684993","226504477161684993","730537558911484028","26","F","S","S","S","S","F","D","",""
"v2v2fnr","2244","4","Jisai Kanemaki","Orient","3","Wed, 27 Sep 2023 16:59:24 GMT","1695833964300","66","","","","No","No","","","1","0","3","226504477161684993","226504477161684993","730537558911484028","40","F","S","S","S","S","F","D","",""
"v2mskct","57582","1","Amy","Fight League: Gear Gadget Generators","2","Wed, 27 Sep 2023 04:24:17 GMT","1695788657264","8","","","","No","No","","","0","0","2","226504477161684993","226504477161684993","730537558911484028","4","F","S","S","S","S","F","D","",""
"v2mmd2b","41416","1","Isabe","Girls und Panzer","3","Mon, 25 Sep 2023 16:59:37 GMT","1695661177841","14","","","","No","No","","","1","0","3","226504477161684993","226504477161684993","730537558911484028","8","F","S","S","S","A","F","D","",""
"vh6g9nh","27885","1","Reinwood","Epic Seven","2","Sat, 23 Sep 2023 06:28:03 GMT","1695450483406","18","","","","No","No","","","1","0","2","226504477161684993","226504477161684993","730537558911484028","13","F","S","S","S","S","F","D","",""
"vhxht80","13929","3","Marco Adriano","Gangsta.","1","Wed, 20 Sep 2023 18:18:33 GMT","1695233913094","11","","","","No","No","","","1","0","1","226504477161684993","226504477161684993","730537558911484028","6","F","S","S","S","S","F","D","",""
"vhx01q0","57746","1","Chito","Flying Witch","2","Wed, 20 Sep 2023 14:40:36 GMT","1695220836506","10","","","","No","No","","","2","0","2","226504477161684993","226504477161684993","730537558911484028","6","F","S","S","S","A","F","D","",""
"vhsp6th","57336","1","Carina","One Piece Film: Gold","1","Tue, 19 Sep 2023 14:49:54 GMT","1695134994419","8","","","","No","No","","","1","0","1","226504477161684993","226504477161684993","730537558911484028","4","F","S","S","S","A","F","D","",""
"vhshdz6","528","5","Deputy Prime Minister","BASTARD!! -Heavy Metal, Dark Fantasy-","4","Mon, 18 Sep 2023 21:33:28 GMT","1695072808329","114","","","","No","No","","","0","0","4","226504477161684993","226504477161684993","730537558911484028","74","F","S","S","S","S","F","B","",""
"vhsmkrl","12672","3","KASUMI","BLACKSTAR -Theater Starless-","3","Mon, 18 Sep 2023 17:14:00 GMT","1695057240406","54","","","","No","No","","","2","0","3","226504477161684993","226504477161684993","730537558911484028","30","F","S","S","S","S","F","D","",""
"vhds7dv","17169","2","Second Princess Raki","Heion Sedai no Idaten-tachi","2","Mon, 18 Sep 2023 12:36:49 GMT","1695040609179","21","","","","No","No","","","1","0","2","226504477161684993","226504477161684993","730537558911484028","13","F","S","S","S","A","F","D","",""
