"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"vw86sxs","60093","1","Hotaru Rindou","Qualidea Code","0","Wed, 13 Dec 2023 22:32:18 GMT","1702506738294","1","","","","No","No","","","1","0","0","632803583586205729","632803583586205729","768148469667201054","0","F","S","S","S","A","F","D","",""
"vw8kp63","34329","2","Issei's Father","High School DxD","2","Tue, 12 Dec 2023 19:42:00 GMT","1702410120374","19","","","","No","No","","","1","0","2","632803583586205729","632803583586205729","768148469667201054","13","F","S","S","S","S","F","D","",""
"vw8mq3x","60624","1","Zuzu","Cowboy Bebop","2","Tue, 12 Dec 2023 09:38:59 GMT","1702373939796","8","","","","No","No","","","1","0","2","632803583586205729","632803583586205729","768148469667201054","4","F","S","S","S","A","F","D","",""
"vwl5wcp","9583","2","Cornelia","Umineko: When They Cry","4","Mon, 11 Dec 2023 07:21:32 GMT","1702279292162","109","","","","No","No","","","1","0","4","632803583586205729","632803583586205729","768148469667201054","59","F","S","S","S","A","F","D","",""
"vwlhw7j","19325","2","Field Landlord","Doraemon: Nobita at the Birth of Japan","2","Mon, 11 Dec 2023 01:01:03 GMT","1702256463775","11","","","","No","No","","","0","0","2","632803583586205729","632803583586205729","768148469667201054","5","F","S","S","S","A","F","D","",""
"vwf62gq","3266","3","Yayoi Norimasa","Child of Kamiari Month","0","Sun, 10 Dec 2023 18:47:02 GMT","1702234022432","6","","","","No","No","","","1","0","0","632803583586205729","632803583586205729","768148469667201054","4","F","S","S","S","A","F","D","",""
"vw9bvpn","91","6","Yuuen Usui","Revenger","4","Fri, 08 Dec 2023 00:53:28 GMT","1701996808213","279","","","","No","No","","","5","0","4","632803583586205729","632803583586205729","768148469667201054","170","F","S","S","S","A","F","C","",""
"vwgqnnl","14114","3","Riko Suminoe","Kiss x Sis","1","Wed, 06 Dec 2023 00:39:00 GMT","1701823140131","22","","","","No","No","","","30","0","1","632803583586205729","632803583586205729","768148469667201054","14","F","S","S","S","S","F","D","",""
"vw3kw2x","34861","2","Kokiri","Kiki's Delivery Service","3","Mon, 04 Dec 2023 18:06:26 GMT","1701713186250","46","","","","No","No","","","2","0","3","632803583586205729","632803583586205729","768148469667201054","25","F","S","S","S","S","F","D","",""
"vwrc00j","21335","2","Ryoushirou Hayasaki","Baku Ane: Otouto Shibocchau zo!","0","Mon, 04 Dec 2023 06:43:50 GMT","1701672230260","4","","","","No","No","","","2","0","0","632803583586205729","632803583586205729","768148469667201054","1","F","S","S","S","S","F","D","",""
"vwrnhl3","21668","2","Kiyoshi Fujino","Prison School","1","Sun, 03 Dec 2023 08:27:24 GMT","1701592044433","14","","","","No","No","","","5","0","1","632803583586205729","632803583586205729","768148469667201054","8","F","S","S","S","S","F","D","",""
"vwr505v","20632","3","Sailor Venus","Sailor Moon","0","Sun, 03 Dec 2023 04:19:51 GMT","1701577191811","16","","","","No","No","","","68","0","0","632803583586205729","632803583586205729","768148469667201054","8","F","S","S","S","A","F","D","",""
"vwrwfpb","35226","2","Walther Kruger","Schwarzesmarken","3","Sun, 03 Dec 2023 02:27:31 GMT","1701570451987","26","","","","No","No","","","0","0","3","632803583586205729","632803583586205729","768148469667201054","15","F","S","S","S","A","F","D","",""
"vwprhnn","2289","2","Sushang","Honkai: Star Rail","1","Sat, 02 Dec 2023 02:08:54 GMT","1701482934423","38","","","","No","No","","","80","0","1","632803583586205729","632803583586205729","768148469667201054","23","F","S","S","S","A","F","D","",""
"vw4x10j","19106","3","Carro Veloce CV.33","Girls und Panzer","1","Fri, 01 Dec 2023 02:19:29 GMT","1701397169913","11","","","","No","No","","","2","0","1","632803583586205729","632803583586205729","768148469667201054","6","F","S","S","S","S","F","D","",""
"vw4dt3w","3426","5","Kiyotaka Ijichi","Jujutsu Kaisen","1","Fri, 01 Dec 2023 00:16:25 GMT","1701389785832","30","","","","No","No","","","5","0","1","632803583586205729","632803583586205729","768148469667201054","18","F","S","S","S","A","F","D","",""
"vw4kmwb","19495","3","Han'nya","Rurouni Kenshin","1","Thu, 30 Nov 2023 02:03:37 GMT","1701309817733","8","","","","No","No","","","2","0","1","632803583586205729","632803583586205729","768148469667201054","4","F","S","S","S","S","F","D","",""
"vw40d00","34857","2","Izumi Nijou","Saki: Episode of Side A","2","Wed, 29 Nov 2023 19:31:22 GMT","1701286282238","16","","","","No","No","","","1","0","2","632803583586205729","632803583586205729","768148469667201054","8","F","S","S","S","S","F","D","",""
"vwz0xgk","19259","3","Escargot","Food Fantasy","3","Tue, 28 Nov 2023 06:49:44 GMT","1701154184873","75","","","","No","No","","","2","0","3","632803583586205729","632803583586205729","768148469667201054","43","F","S","S","S","S","F","D","",""
"vwnq00x","13561","2","Toranosuke Miyamura","Yamada-kun and the Seven Witches","1","Sat, 25 Nov 2023 06:48:54 GMT","1700894934932","15","","","","No","No","","","10","0","1","632803583586205729","632803583586205729","768148469667201054","8","F","S","S","S","A","F","D","",""
