code,number,edition,character,series,quality,dye.code,dye.name,frame,morphed,trimmed,alias,wishlists,dropQuality,worker.effort,worker.style,owner
v2szs16,58467,1,Charlie,Meiji Tokyo Renka Movie: Yumihari no Serenade,2,,,,No,No,,1,2,1,F,saber
v2sz6rk,47739,1,Lenessia Erhart Cowen,Log Horizon,2,,,,No,No,,6,2,6,F,saber
v2dxb7n,8685,4,Haku,Spirited Away,1,,,,No,No,,296,1,23,F,saber
v2dsd7c,2980,5,Elemental Hero Neos,Yu-Gi-Oh! GX,1,,,,No,No,,14,1,13,F,saber
v2dlslx,14458,3,Enmu,Demon Slayer: Kimetsu no Yaiba,2,,,,No,No,,114,2,44,F,saber
v2dg0f5,58699,1,Paper Boy,Fruits Basket 1st Season,2,,,,No,No,,1,2,4,F,saber
v2dnq08,41060,1,Longinus,Fate/Requiem,1,,,,No,No,,1,1,1,F,saber
v2dbxw0,58836,1,Tapu Koko,Pokémon Sun & Moon,1,,,,No,No,,3,1,4,F,saber
v2d05rj,16313,2,Phina,Fire Emblem: Mystery of the Emblem,1,,,,No,No,,1,1,6,F,saber
v27xdmj,274,6,Lisette Regnier,Tales of Luminaria,3,,,,No,No,,1,3,98,F,saber
v276ddk,56639,1,Pawniard,Pokémon: Black & White,1,,,,No,No,,1,1,4,F,saber
v27405p,59080,1,Tsugumi Oozora,Stop!! Hibari-kun!,2,,,,No,No,,0,2,0,F,saber
v2tscmw,18805,3,Julius Juukulius,Re:ZERO -Starting Life in Another World-,2,,,,No,No,,9,2,23,F,saber
v2tt934,2936,5,RAN,BLACKSTAR -Theater Starless-,1,,,,No,No,,4,1,13,F,saber
v2tf58r,16065,2,Erk,Fire Emblem: The Blazing Blade,2,,,,No,No,,1,2,14,F,saber
v2tg8f2,3217,2,Haruhiko Yagi,Hajime no Ippo: The Fighting!,2,,,,No,No,,2,2,13,F,saber
v2t92nz,3013,3,Jabbathe,Vinland Saga,4,,,,No,No,,1,4,61,F,saber
v2tw0m3,58764,1,Cyclops Gigant,Saint Seiya: The Hades Chapter - Sanctuary,1,,,,No,No,,1,1,0,F,saber
v28r63x,13528,3,Akira Fudou,Devilman,0,,,,No,No,,188,0,8,F,saber
v28njq8,3206,5,Ame-Warashi,xxxHOLiC,2,,,,No,No,,2,2,23,F,saber
v2ltqpr,2982,5,Tetsujin,Sabikui Bisco,3,,,,No,No,,1,3,36,F,saber
v2lgcw9,8724,4,Mamoru Akasaka,When They Cry: Higurashi,2,,,,No,No,,1,2,15,F,saber
v2l3trs,3566,5,Charlotte,Fire Emblem Fates,2,,,,No,No,,3,2,28,F,saber
v2lpp7n,58645,1,Dr. Nossori,Mazinger Z,3,,,,No,No,,0,3,1,F,saber
v2lzk0k,3318,5,Hiling,Ousama Ranking,2,,,,No,No,,39,2,25,F,saber
v2lmmw0,8063,4,Mio Sudou,Otona nya Koi no Shikata ga Wakaranee!,3,,,,No,No,,1,3,30,F,saber
v2fdxq3,3478,1,Michika,Heavenly Delusion,1,,,,No,No,,1,1,4,F,saber
v2ftc55,58426,1,Haruna Okada,K-On!!,3,,,,No,No,,1,3,13,F,saber
v2fhj12,40556,1,Kabuki Nobbu,Fate/Grand Order,2,,,,No,No,,1,2,4,F,saber
v29c7vt,3391,5,Kanade Oomori,We Never Learn,3,,,,No,No,,0,3,34,F,saber
v29c4wv,8293,4,Jakurai Jinguji,Hypnosis Mic: Division Rap Battle - Rhyme Anima,3,,,,No,No,,23,3,45,F,saber
v29fn2f,945,4,Rose Oriana,The Eminence in Shadow,3,,,,No,No,,52,3,70,F,saber
v29gbf5,92,2,Wolf Fang Captain,"Saving 80,000 Gold in Another World for My Retirement",1,,,,No,No,,0,1,15,F,saber
v29zw83,446,4,Monzein,The Alchemist Code,3,,,,No,No,,0,3,68,F,saber
v29vx42,2931,5,Yoriko Yasaka,Haiyore! Nyaruko-san,2,,,,No,No,,3,2,25,F,saber
v2gtw2d,8261,4,Shinoa Hiiragi,Seraph of the End: Battle in Nagoya,3,,,,No,No,,414,3,89,F,saber
v2g8k2r,6747,1,Monk Gyatso,Avatar: The Last Airbender,2,,,,No,No,,2,2,15,F,saber
v2g31jv,58549,1,Harlan,Dog Days,4,,,,No,No,,1,4,6,F,saber
v2grcg6,58163,1,Metal Upa,Steins;Gate,2,,,,No,No,,5,2,5,F,saber
v234szc,47560,1,U-2048,Cells at Work!!,2,,,,No,No,,1,2,5,F,saber
v2rmxxp,6504,2,Black Tiger with Red Stripe,Beast Tamer,3,,,,No,No,,1,3,23,F,saber
v2ptqbx,26064,1,Madarame Mayumi,Yakuza 5,2,,,,No,No,,1,2,1,F,saber
v2p8z5f,52945,1,Blaze Accelerator,Yu-Gi-Oh! GX,2,,,,No,No,,1,2,1,F,saber
v2pk9bj,28753,1,Kamezou,Deep Insanity: The Lost Child,0,,,,No,No,,1,0,0,F,saber
v2p0sdg,57762,1,Lord Mathias,Neo Angelique Abyss,4,,,,No,No,,1,4,5,F,saber
v2pm0q2,55051,1,Criminal Investigation Diary,Future Diary,2,,,,No,No,,1,2,4,F,saber
v24frfh,58358,1,Nurse Joy,Pokémon,2,,,,No,No,,9,2,14,F,saber
v2446zq,11988,1,Tou Handa,The Vampire Dies in No Time,2,,,,No,No,,1,2,4,F,saber
v24n69p,3079,5,Dr. Eggman,Sonic X,1,,,,No,No,,48,1,19,F,saber
v245hxf,5884,4,Mermaid Gundam,Mobile Fighter G Gundam,1,,,,No,No,,1,1,6,F,saber
v24wzkv,3157,5,Touya Sagami,The Orbital Children,0,,,,No,No,,1,0,4,F,saber
