"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"v26qz15","795","4","Muderev","The Reincarnation of the Strongest Exorcist in Another World","4","Mon, 06 Nov 2023 03:11:03 GMT","1699240263663","160","","","","No","No","","","1","0","4","289730004600750081","289730004600750081","768148469667201054","85","F","S","S","S","A","F","F","",""
"v2xxjmq","58767","1","Ayumi","Devilman: Crybaby","0","Sun, 05 Nov 2023 20:54:05 GMT","1699217645699","2","","","","No","No","","","1","0","0","289730004600750081","289730004600750081","768148469667201054","1","F","S","S","S","A","F","D","",""
"v2xvstb","59082","1","Sister Azariya","Sword Art Online: Alicization","2","Sat, 04 Nov 2023 16:24:51 GMT","1699115091146","5","","","","No","No","","","1","0","2","289730004600750081","289730004600750081","768148469667201054","1","F","S","S","S","B","F","D","",""
"v2s4m5s","3646","4","Nilou","Genshin Impact","1","Fri, 03 Nov 2023 20:09:58 GMT","1699042198216","44","","","","No","No","","","706","0","1","289730004600750081","289730004600750081","768148469667201054","21","F","S","S","S","D","F","D","",""
"v2dgqcs","12823","3","Halkara","I've Been Killing Slimes for 300 Years and Maxed Out My Level","1","Thu, 02 Nov 2023 15:25:06 GMT","1698938706681","20","","","","No","No","","","7","0","1","289730004600750081","289730004600750081","768148469667201054","13","F","S","S","S","B","F","D","",""
"v2t91zs","25124","1","Gaius Julius Caesar","Fate/Grand Order","0","Mon, 30 Oct 2023 17:56:54 GMT","1698688614064","1","","","","No","No","","","1","0","0","","289730004600750081","768148469667201054","0","F","S","S","F","F","F","D","",""
"v2t36rs","13489","3","Rock Lee","Naruto","2","Mon, 30 Oct 2023 17:02:29 GMT","1698685349643","79","","","","No","No","","","178","0","2","289730004600750081","289730004600750081","768148469667201054","44","F","S","S","S","A","F","D","",""
"v2tk9qr","55483","1","Remoraid","Pokémon","2","Mon, 30 Oct 2023 03:54:01 GMT","1698638041187","11","","","","No","No","","","1","0","2","289730004600750081","289730004600750081","768148469667201054","6","F","S","S","S","A","F","D","",""
"v2t2jtl","58524","1","Ryo Shinonome","Cinderella Nine","2","Mon, 30 Oct 2023 01:56:17 GMT","1698630977263","7","","","","No","No","","","1","0","2","289730004600750081","289730004600750081","768148469667201054","4","F","S","S","S","A","F","D","",""
"v2t00jp","3567","5","Shao May","Fullmetal Alchemist: Brotherhood","1","Sun, 29 Oct 2023 21:29:53 GMT","1698614993045","26","","","","No","No","","","6","0","1","289730004600750081","289730004600750081","768148469667201054","15","F","S","S","S","A","F","D","",""
"v2tmjqs","18127","2","Kikoru Shinomiya","Kaiju No. 8","2","Sun, 29 Oct 2023 20:48:05 GMT","1698612485455","44","","","","No","No","","","34","0","2","289730004600750081","289730004600750081","768148469667201054","24","F","S","S","S","S","F","D","",""
"v28nf7s","9129","4","Kosaki Onodera","Nisekoi","3","Sat, 28 Oct 2023 23:35:40 GMT","1698536140331","141","","","","No","No","","","139","0","3","289730004600750081","289730004600750081","768148469667201054","78","F","S","S","S","S","F","D","",""
"v2ltqpp","22755","1","Mitsuki","Princess Connect! Re: Dive","3","Sat, 28 Oct 2023 02:10:29 GMT","1698459029902","33","","","","No","No","","","1","0","3","480776931629858823","289730004600750081","768148469667201054","16","F","S","S","F","A","F","D","",""
"v2lggdc","58785","1","Erika Shibasaki","Tsuredure Children","3","Fri, 27 Oct 2023 21:23:55 GMT","1698441835328","12","","","","No","No","","","1","0","3","289730004600750081","289730004600750081","768148469667201054","5","F","S","S","S","B","F","D","",""
"v2lzdhk","1991","4","Lyudmila Andreyevna Ruslanova","Luminous Witches","2","Fri, 27 Oct 2023 15:52:10 GMT","1698421930030","46","","","","No","No","","","1","0","2","289730004600750081","289730004600750081","768148469667201054","25","F","S","S","S","A","F","D","",""
"v2f7h3g","2584","2","Jilk's Duel Armor","Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs","1","Thu, 26 Oct 2023 17:47:47 GMT","1698342467910","9","","","","No","No","","","0","0","1","289730004600750081","289730004600750081","768148469667201054","4","F","S","S","S","B","F","D","",""
"v2flhd4","58389","1","Brock's Pineco","Pokémon","1","Thu, 26 Oct 2023 15:05:22 GMT","1698332722374","5","","","","No","No","","","1","0","1","289730004600750081","289730004600750081","768148469667201054","1","F","S","S","S","A","F","D","",""
"v2fncnt","13338","3","Cyrus","Pokémon","3","Thu, 26 Oct 2023 03:57:14 GMT","1698292634882","76","","","","No","No","","","4","0","3","289730004600750081","289730004600750081","768148469667201054","43","F","S","S","S","S","F","D","",""
"v2fj5bh","34066","2","Tsubone","Hunter x Hunter (2011)","2","Thu, 26 Oct 2023 02:12:45 GMT","1698286365234","26","","","","No","No","","","1","0","2","289730004600750081","289730004600750081","768148469667201054","15","F","S","S","S","A","F","D","",""
"v29r8v8","8125","2","Mithos","Tales of Symphonia","2","Tue, 24 Oct 2023 23:39:22 GMT","1698190762443","24","","","","No","No","","","1","0","2","289730004600750081","289730004600750081","768148469667201054","14","F","S","S","S","A","F","D","",""
"v29bqzl","58152","1","Kuro","K: Return of Kings","3","Tue, 24 Oct 2023 15:17:42 GMT","1698160662933","23","","","","No","No","","","1","0","3","289730004600750081","289730004600750081","768148469667201054","14","F","S","S","S","B","F","D","",""
"v2g6h3d","58501","1","Madam Momere","Happiness Charge Precure!","1","Tue, 24 Oct 2023 01:51:54 GMT","1698112314778","1","","","","No","No","","","0","0","1","289730004600750081","289730004600750081","768148469667201054","0","F","S","S","S","S","F","D","",""
"v23wtpv","13756","3","Touga Kiryuu","Revolutionary Girl Utena","3","Sat, 21 Oct 2023 20:09:55 GMT","1697918995627","37","","","","No","No","","","3","0","3","289730004600750081","289730004600750081","768148469667201054","18","F","S","S","S","D","F","D","",""
"v2rf5q4","58841","1","James's Mother","Pokémon","0","Sat, 21 Oct 2023 00:00:02 GMT","1697846402284","2","","","","No","No","","","1","0","0","289730004600750081","289730004600750081","768148469667201054","1","F","S","S","S","A","F","D","",""
"v2rp0f8","53327","1","Dark Magician Girl the Dragon Knight","Yu-Gi-Oh! Duel Monsters","3","Fri, 20 Oct 2023 19:19:35 GMT","1697829575801","20","","","","No","No","","","1","0","3","289730004600750081","289730004600750081","768148469667201054","13","F","S","S","S","B","F","D","",""
