code,number,edition,character,series,quality,obtainedDate,obtainedTimestamp,burnValue,dye.code,dye.name,frame,morphed,trimmed,tag,alias,wishlists,fights,dropQuality,dropper,grabber,guild,worker.effort,worker.style,worker.purity,worker.grabber,worker.dropper,worker.quickness,worker.toughness,worker.vanity,worker.recoveryDate,worker.recoveryTimestamp
v2szs16,58467,1,Charlie,Meiji Tokyo Renka Movie: Yumihari no Serenade,2,"Fri, 03 Nov 2023 20:50:11 GMT",1.69904E+12,5,,,,No,No,burn,,1,0,2,480776931629858823,480776931629858823,768148469667201054,1,F,S,S,S,A,F,D,,
v2sz6rk,47739,1,Lenessia Erhart Cowen,Log Horizon,2,"Fri, 03 Nov 2023 20:10:47 GMT",1.69904E+12,10,,,,No,No,pog,,6,0,2,480776931629858823,480776931629858823,768148469667201054,6,F,S,S,S,A,F,D,,
v2dxb7n,8685,4,Haku,Spirited Away,1,"Fri, 03 Nov 2023 00:14:34 GMT",1.69897E+12,39,,,,No,No,burn,,296,0,1,480776931629858823,480776931629858823,768148469667201054,23,F,S,S,S,S,F,D,,
v2dsd7c,2980,5,Elemental Hero Neos,Yu-Gi-Oh! GX,1,"Thu, 02 Nov 2023 22:36:32 GMT",1.69896E+12,19,,,,No,No,burn,,14,0,1,480776931629858823,480776931629858823,768148469667201054,13,F,S,S,S,S,F,D,,
v2dlslx,14458,3,Enmu,Demon Slayer: Kimetsu no Yaiba,2,"Thu, 02 Nov 2023 18:31:25 GMT",1.69895E+12,84,,,,No,No,burn,,114,0,2,480776931629858823,480776931629858823,768148469667201054,44,F,S,S,S,A,F,D,,
v2dg0f5,58699,1,Paper Boy,Fruits Basket 1st Season,2,"Thu, 02 Nov 2023 15:35:54 GMT",1.69894E+12,6,,,,No,No,burn,,1,0,2,480776931629858823,480776931629858823,730537558911484028,4,F,S,S,S,A,F,D,,
v2dnq08,41060,1,Longinus,Fate/Requiem,1,"Thu, 02 Nov 2023 04:56:01 GMT",1.6989E+12,5,,,,No,No,burn,,1,0,1,480776931629858823,480776931629858823,768148469667201054,1,F,S,S,S,B,F,D,,
v2dbxw0,58836,1,Tapu Koko,Pokémon Sun & Moon,1,"Thu, 02 Nov 2023 03:50:15 GMT",1.6989E+12,8,,,,No,No,burn,,3,0,1,638085641607053336,480776931629858823,768148469667201054,4,F,S,S,F,F,F,D,,
v2d05rj,16313,2,Phina,Fire Emblem: Mystery of the Emblem,1,"Wed, 01 Nov 2023 18:53:42 GMT",1.69886E+12,12,,,,No,No,burn,,1,0,1,480776931629858823,480776931629858823,768148469667201054,6,F,S,S,S,A,F,D,,
v27xdmj,274,6,Lisette Regnier,Tales of Luminaria,3,"Wed, 01 Nov 2023 15:37:36 GMT",1.69885E+12,155,,,,No,No,burn,,1,5,3,,480776931629858823,715844052700102757,98,F,S,S,F,A,S,D,,
v276ddk,56639,1,Pawniard,Pokémon: Black & White,1,"Wed, 01 Nov 2023 15:24:46 GMT",1.69885E+12,6,,,,No,No,burn,,1,0,1,480776931629858823,480776931629858823,768148469667201054,4,F,S,S,S,A,F,D,,
v27405p,59080,1,Tsugumi Oozora,Stop!! Hibari-kun!,2,"Tue, 31 Oct 2023 20:57:42 GMT",1.69879E+12,1,,,,No,No,burn,,0,0,2,480776931629858823,480776931629858823,768148469667201054,0,F,S,S,S,D,F,D,,
v2tscmw,18805,3,Julius Juukulius,Re:ZERO -Starting Life in Another World-,2,"Tue, 31 Oct 2023 01:02:40 GMT",1.69871E+12,39,,,,No,No,keep,,9,0,2,480776931629858823,480776931629858823,768148469667201054,23,F,S,S,S,A,F,D,,
v2tt934,2936,5,RAN,BLACKSTAR -Theater Starless-,1,"Mon, 30 Oct 2023 22:14:18 GMT",1.6987E+12,21,,,,No,No,burn,,4,0,1,480776931629858823,480776931629858823,768148469667201054,13,F,S,S,S,A,F,D,,
v2tf58r,16065,2,Erk,Fire Emblem: The Blazing Blade,2,"Mon, 30 Oct 2023 19:32:03 GMT",1.69869E+12,25,,,,No,No,burn,,1,0,2,480776931629858823,480776931629858823,768148469667201054,14,F,S,S,S,B,F,D,,
v2tg8f2,3217,2,Haruhiko Yagi,Hajime no Ippo: The Fighting!,2,"Mon, 30 Oct 2023 18:25:46 GMT",1.69869E+12,18,,,,No,No,burn,,2,0,2,480776931629858823,480776931629858823,768148469667201054,13,F,S,S,S,A,F,D,,
v2t92nz,3013,3,Jabbathe,Vinland Saga,4,"Mon, 30 Oct 2023 17:55:33 GMT",1.69869E+12,111,,,,No,No,burn,,1,0,4,480776931629858823,480776931629858823,768148469667201054,61,F,S,S,S,A,F,D,,
v2tw0m3,58764,1,Cyclops Gigant,Saint Seiya: The Hades Chapter - Sanctuary,1,"Mon, 30 Oct 2023 01:56:31 GMT",1.69863E+12,1,,,,No,No,burn,,1,0,1,480776931629858823,480776931629858823,768148469667201054,0,F,S,S,S,C,F,D,,
v28r63x,13528,3,Akira Fudou,Devilman,0,"Sun, 29 Oct 2023 05:27:50 GMT",1.69856E+12,15,,,,No,No,burn,,188,0,0,480776931629858823,480776931629858823,768148469667201054,8,F,S,S,S,S,F,D,,
v28njq8,3206,5,Ame-Warashi,xxxHOLiC,2,"Sat, 28 Oct 2023 22:55:29 GMT",1.69853E+12,39,,,,No,No,burn,,2,0,2,480776931629858823,480776931629858823,768148469667201054,23,F,S,S,S,A,F,D,,
v2ltqpr,2982,5,Tetsujin,Sabikui Bisco,3,"Sat, 28 Oct 2023 02:10:31 GMT",1.69846E+12,63,,,,No,No,burn,,1,0,3,480776931629858823,480776931629858823,768148469667201054,36,F,S,S,S,A,F,D,,
